Charging volume [kWh];Share of charging transactions
0;0,029938112
1;0,026188226
2;0,035212341
3;0,03268193
4;0,043443797
5;0,050333831
6;0,071186854
7;0,055973903
8;0,048809488
9;0,032163654
10;0,021188378
11;0,023383433
12;0,020670102
13;0,019725008
14;0,018688455
15;0,018261638
16;0,01804823
17;0,017347032
18;0,017286058
19;0,018718941
20;0,018078717
21;0,018901863
22;0,017286058
23;0,017316545
24;0,017103137
25;0,016615347
26;0,014511753
27;0,015487333
28;0,014938569
29;0,013200817
30;0,011859395
31;0,013322765
32;0,010853328
33;0,01112771
34;0,009603366
35;0,008444864
36;0,00829243
37;0,008079022
38;0,006585165
39;0,007042468
40;0,006920521
41;0,006676626
42;0,006219323
43;0,005762019
44;0,005822993
45;0,005487638
46;0,005640072
47;0,005883967
48;0,005121795
49;0,004115728
50;0,004115728
51;0,004268163
52;0,003871833
53;0,004786439
54;0,003810859
55;0,003262096
56;0,003384043
57;0,003445017
58;0,003201122
59;0,002804793
60;0,002987714
61;0,002957227
62;0,002317003
63;0,002073108
64;0,002256029
65;0,001981647
66;0,001585318
67;0,001615804
68;0,001249962
69;0,001128014
70;0,000640224
71;0,000853633
72;0,000518277
73;0,000731685
74;0,000518277
75;0,000762172
76;0,000579251
77;0,000396329
78;0,000396329
79;0,000182921
80;0,000182921
81;9,15E-05
82;9,15E-05
83;9,15E-05
84;0,000274382
85;0,000243895
86;0,000152434
87;0,000182921
88;0,000182921
89;0,000182921
90;3,05E-05
91;0
92;0
93;3,05E-05
94;0
95;0
96;0
97;0
98;0
99;0
100;0
101;3,05E-05
